season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2024-2025,2024-11-17,Kings of Court,3,25 18 22 25 15,Sheffield,2,13 25 25 23 10,division_2,men,Vivacity Werrington Leisure Centre,Vitalijs Kondrasovs,
2024-2025,2024-11-17,Northampton,1,19 18 25 15 -,Rhinos Volleyball Cambridge,3,25 25 21 25 -,division_2,men,Moulton College,Stephen Smith,Chris Tsui
2024-2025,2024-11-17,Bristol,3,19 26 20 25 15,Leeds Gorse,2,25 24 25 17 11,division_1,men,Avanti Gardens School,Neil Bentley,Francesca Bentley
2024-2025,2024-11-17,Tamworth Spartans,3,25 25 27 - -,Hull Thunder,0,21 16 25 - -,division_1,men,Wilnecote Leisure Centre,William Perugini,Rita Grimes
2024-2025,2024-11-17,Newmarket,3,25 25 25 - -,Cambridge,0,16 12 19 - -,division_2,men,Newmarket Leisure Centre,Stephen Watts,
2024-2025,2024-11-17,Manchester Marvels,3,25 25 25 25 -,Leeds Gorse 2,1,27 21 13 22 -,division_2,men,Dean Trust Ardwick,Martin Mierzwa,Kirat Thorat
2024-2025,2024-11-17,Wigan Seahawks,1,19 22 25 19 -,Newcastle Staffs 2,3,25 25 15 25 -,division_2,men,St Edmund Arrowsmith Catholic High School,Sarah Hanrahan,Paul Fagan
2024-2025,2024-11-17,Wombourne,2,23 25 25 16 14,Chester,3,25 22 19 25 16,division_3,men,Dudley Evolve,Elia Gironacci,Bryan Machin
2024-2025,2024-11-17,DARKSTAR Derbyshire 2,0,17 14 15 - -,Chester,3,25 25 25 - -,division_3,men,Dudley Evolve,Bryan Machin,Elia Gironacci
2024-2025,2024-11-17,Wombourne,3,25 25 25 - -,DARKSTAR Derbyshire 2,0,12 23 11 - -,division_3,men,Dudley Evolve,Elia Gironacci,Bryan Machin
2024-2025,2024-11-17,Newcastle Knights,3,25 30 25 - -,IBB Polonia London,0,20 28 18 - -,superleague,men,Newcastle University Sports Centre,Debra Smart,Diane Hollows
2024-2025,2024-11-23,Leeds Gorse,3,25 25 25 - -,Lincoln Cannons,0,10 16 17 - -,division_1,men,The Ruth Gorse Academy,Debra Smart,Gabriela Pecovska
2024-2025,2024-11-23,Malory Eagles UEL,3,25 23 25 25 -,Essex Blaze,1,8 25 19 21 -,superleague,men,Ernest Bevin College,Nick Heckford,Ian Cheesbrough
