Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2,
2025-02-22,14:30,M1 63,Newcastle Staffs,0,- - - - -,Lincoln Cannons,0,- - - - -,Division 1 Men,men,Sir Stanley Matthews Sports Centre,Abdul Salam Safadi,Bryan Machin
2025-02-22,15:00,M1 84,Cambridge ARU,0,- - - - -,Leeds Gorse,0,- - - - -,Division 1 Men,men,Stephen Perse Foundation,Aliaksandr Siarheyeu,Ryszard Dabrowski
2025-02-22,15:00,M1 85,Hull Thunder,0,- - - - -,London Aces,0,- - - - -,Division 1 Men,men,Steve Prescott Sport Centre,Diane Hollows,
2025-02-23,14:30,M1 89,Leeds Gorse,0,- - - - -,London Aces,0,- - - - -,Division 1 Men,men,The Ruth Gorse Academy,Simon Cowie,Aileen Barry
2025-03-01,12:00,M1 96,Leeds Gorse,0,- - - - -,Black Country,0,- - - - -,Division 1 Men,men,The Ruth Gorse Academy,Simon Cowie,Lusyne Oracz
2025-03-01,14:00,M1 91,Newcastle Staffs,0,- - - - -,Tamworth Spartans,0,- - - - -,Division 1 Men,men,Sir Stanley Matthews Sports Centre,John Boughton,Bryan Machin
2025-03-01,14:30,M1 92,London Baks,0,- - - - -,Lincoln Cannons,0,- - - - -,Division 1 Men,men,Castle Green Sport Centre,Brendan Fogarty,Andres Hernandez
2025-03-02,13:00,M1 94,Hull Thunder,0,- - - - -,Black Country,0,- - - - -,Division 1 Men,men,Steve Prescott Sports Centre,Diane Hollows,Stivan Kolev
2025-03-02,14:00,M1 93,Bristol,0,- - - - -,Exeter Storm,0,- - - - -,Division 1 Men,men,Avanti Gardens School,Su Brennand,Neil Bentley
2025-03-08,12:30,M1 79,Exeter Storm,0,- - - - -,Tamworth Spartans,0,- - - - -,Division 1 Men,men,Coombe Dean School,Daniel Sarnik,Connor Bromley
2025-03-08,14:30,M1 9,Newcastle Staffs,0,- - - - -,London Baks,0,- - - - -,Division 1 Men,men,Sir Stanley Matthews Sports Centre,Rita Grimes,Bryan Machin
2025-03-08,15:30,M1 97,Cambridge ARU,0,- - - - -,Lincoln Cannons,0,- - - - -,Division 1 Men,men,North Cambridge Academy,Aliaksandr Siarheyeu,Maya Stancheva
2025-03-15,15:00,M1 101,Hull Thunder,0,- - - - -,Bristol,0,- - - - -,Division 1 Men,men,Steve Prescott Sports Centre,Stivan Kolev,Edward Arnott
2025-03-15,15:30,M1 99,Exeter Storm,0,- - - - -,Newcastle Staffs,0,- - - - -,Division 1 Men,men,Riverside Leisure Centre,Christopher Semmens,Connor Bromley
2025-03-16,13:00,M1 103,Tamworth Spartans,0,- - - - -,Cambridge ARU,0,- - - - -,Division 1 Men,men,Wilnecote Leisure Centre,Rita Grimes,Bryan Machin
2025-03-16,14:30,M1 57,Lincoln Cannons,0,- - - - -,Bristol,0,- - - - -,Division 1 Men,men,Riseholme College (Showground Campus),Phil Cobb,Edward Arnott
2025-03-16,15:00,M1 102,Hull Thunder,0,- - - - -,London Baks,0,- - - - -,Division 1 Men,men,Steve Prescott Sports Centre,,
2025-03-22,13:30,M1 98,London Aces,0,- - - - -,London Baks,0,- - - - -,Division 1 Men,men,Lambeth Academy,Ian Cheesbrough,Man Chung Ng
2025-03-23,12:45,M1 110,Black Country,0,- - - - -,Bristol,0,- - - - -,Division 1 Men,men,Redhill School Sports Hall,Roberto Rigante,Rose Sterling
2025-03-23,14:00,M1 19,Tamworth Spartans,0,- - - - -,Exeter Storm,0,- - - - -,Division 1 Men,men,Wilnecote Leisure Centre,Bryan Machin,
2025-03-23,15:00,M1 87,Lincoln Cannons,0,- - - - -,Hull Thunder,0,- - - - -,Division 1 Men,men,Riseholme College (Showground Campus),Pete Whyard,Edward Arnott
2025-03-29,12:00,M1 107,Leeds Gorse,0,- - - - -,Hull Thunder,0,- - - - -,Division 1 Men,men,The Ruth Gorse Academy,,
2025-03-29,13:15,M1 104,Black Country,0,- - - - -,London Baks,0,- - - - -,Division 1 Men,men,Redhill School Sports Hall,,
2025-03-29,13:30,M1 105,London Aces,0,- - - - -,Lincoln Cannons,0,- - - - -,Division 1 Men,men,Lambeth Academy,,
2025-03-29,14:00,M1 108,Newcastle Staffs,0,- - - - -,Bristol,0,- - - - -,Division 1 Men,men,Sir Stanley Matthews Sports Centre,,
2025-03-29,15:30,M1 106,Cambridge ARU,0,- - - - -,Exeter Storm,0,- - - - -,Division 1 Men,men,North Cambridge Academy,,
2025-03-30,12:45,M1 82,Black Country,0,- - - - -,Newcastle Staffs,0,- - - - -,Division 1 Men,men,Redhill School Sports Hall,,
2025-03-30,13:00,M1 58,Tamworth Spartans,0,- - - - -,London Baks,0,- - - - -,Division 1 Men,men,Wilnecote Leisure Centre,,
