Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2,
2024-10-19,00:00,,Lionhearts Vinarius,3,14 22 25 25 15,Essex Rebels,2,25 25 19 18 11,Super League Women,men,Mulberry Shoreditch Academy,Giordano Marchi,Katarina Cepinova
2024-10-19,00:00,,Malory Eagles UEL,3,25 25 25 - -,Cambridge ARU,0,12 11 18 - -,Super League Women,men,Ernest Bevin College,Glynn Archibald,Giorgio Scatigna-Gianfagna
2024-10-19,00:00,,Wessex,2,25 25 21 18 8,University of Nottingham Volleyball,3,22 22 25 25 15,Super League Women,men,Parkstone Grammar School,Sam Yip,Ludwik Kowalewski
2024-10-13,00:00,,Malory Eagles UEL,3,25 25 25 - -,University of Nottingham Volleyball,0,20 19 13 - -,Super League Women,men,National Volleyball Centre,Domenico De Mattia,Joseph Gore
2024-10-13,00:00,,Essex Rebels,3,25 29 25 - -,Leeds Gorse,0,13 27 20 - -,Super League Women,men,National Volleyball Centre,Dominik Biegajlo,Klaudia French
2024-10-13,00:00,,Wessex,0,17 21 22 - -,Durham Palatinates,3,25 25 25 - -,Super League Women,men,National Volleyball Centre,Anna Justkowska,Richard Burbedge
2024-10-13,00:00,,DARKSTAR Derbyshire,1,19 18 25 21 -,Team SideOut Polonia (London),3,25 25 22 25 -,Super League Women,men,National Volleyball Centre,Martin Shakespeare,Ludwik Kowalewski
2024-10-13,00:00,,Lionhearts Vinarius,0,20 16 21 - -,Cambridge ARU,3,25 25 25 - -,Super League Women,men,National Volleyball Centre,Joseph Gore,Herman Prada
2024-10-05,00:00,,Wessex,0,11 23 10 - -,Malory Eagles UEL,3,25 25 25 - -,Super League Women,men,Parkstone Grammar School,Ludwik Kowalewski,Richard Parkes
2025-02-02,00:00,,IBB Polonia London,0,22 23 15 - -,London Giants,3,25 25 25 - -,Super League Men,men,Northolt High school,Anna Justkowska,
2025-02-02,00:00,,Durham Palatinates,0,14 17 25 - -,Malory Eagles UEL,3,25 25 27 - -,Super League Men,men,Graham Sports Centre,Simon Cowie,Diane Hollows
2025-02-02,00:00,,Newcastle Knights,3,30 17 25 25 -,Richmond Docklands,1,28 25 18 18 -,Super League Men,men,Newcastle University Sports Centre,David Topacho,Evelyn Lee
2025-02-01,00:00,,University of Nottingham,3,20 25 25 25 -,IBB Polonia London,1,25 20 16 18 -,Super League Men,men,David Ross Sports Village,Chris Tsui,John Boughton
2025-02-01,00:00,,Newcastle Knights,0,21 16 18 - -,Malory Eagles UEL,3,25 25 25 - -,Super League Men,men,Newcastle University Sports Centre,David Topacho,Evelyn Lee
2025-02-01,00:00,,London Giants,1,23 20 29 16 -,Essex Rebels,3,25 25 27 25 -,Super League Men,men,Brixton Recreation Centre,Giorgio Scatigna-Gianfagna,Martin Shakespeare
2025-02-01,00:00,,Durham Palatinates,0,24 25 17 - -,Essex Blaze,3,26 27 25 - -,Super League Men,men,Graham Sports Centre,Diane Hollows,Stivan Kolev
2025-01-29,00:00,,Durham Palatinates,2,25 23 25 16 12,Newcastle Knights,3,14 25 20 25 15,Super League Men,men,Graham Sports Centre,David Topacho,Joshua Tang
2025-01-26,00:00,,Essex Rebels,3,25 25 22 25 -,Newcastle Knights,1,20 20 25 15 -,Super League Men,men,Essex Sport Arena,Glynn Archibald,Claudiu Florea
2025-01-26,00:00,,Essex Blaze,1,25 20 18 20 -,London Giants,3,20 25 25 25 -,Super League Men,men,St John Payne School,Richard Burbedge,Stephen Smith
2025-01-25,00:00,,Richmond Docklands,3,25 18 25 25 15,Essex Blaze,2,16 25 23 27 8,Super League Men,men,University of Westminster Sports Hall Harrow Campus,Peter Parsons,Gabriel Dan
2025-01-25,00:00,,Essex Rebels,3,27 28 25 - -,Durham Palatinates,0,25 26 22 - -,Super League Men,men,Essex Sport Arena,Richard Burbedge,Sebastian Widlarz
2025-01-25,00:00,,Stockport,3,25 16 27 26 -,IBB Polonia London,1,23 25 25 24 -,Super League Men,men,Life Leisure Brinnington Park,Paul Fagan,Sarah Hanrahan
2025-01-25,00:00,,University of Nottingham,3,25 11 17 25 15,Malory Eagles UEL,2,20 25 25 18 10,Super League Men,men,Jubilee Campus Sports Centre,Stephen Smith,Pete Whyard
2025-01-19,00:00,,IBB Polonia London,3,25 19 25 25 -,Richmond Docklands,1,19 25 14 17 -,Super League Men,men,Northolt High school,Patrick Koroma,Korosh Alikhani
2025-01-19,00:00,,Newcastle Knights,1,22 22 25 14 -,Essex Rebels,3,25 25 15 25 -,Super League Men,men,Newcastle University Sports Centre,David Topacho,Evelyn Lee
2025-01-18,00:00,,Richmond Docklands,0,16 23 19 - -,London Giants,3,25 25 25 - -,Super League Men,men,University of Westminster Sports Hall Harrow Campus,Anna Justkowska,Gabriel Dan
2025-01-18,00:00,,Durham Palatinates,0,16 23 19 - -,Essex Rebels,3,25 25 25 - -,Super League Men,men,Graham Sports Centre,Simon Cowie,Evelyn Lee
2025-01-18,00:00,,Malory Eagles UEL,3,20 25 25 25 -,IBB Polonia London,1,25 18 23 13 -,Super League Men,men,UEL (Sports Dock),Nick Heckford,Carl Padayachee
2025-01-18,00:00,,Stockport,3,25 25 25 - -,University of Nottingham,0,17 23 17 - -,Super League Men,men,Life Leisure Brinnington Park,Lenny Barry,Paul Fagan
2025-01-04,00:00,,IBB Polonia London,3,23 25 25 25 -,Essex Blaze,1,25 18 13 17 -,Super League Men,men,Northolt High school,Brendan Fogarty,Ian Cheesbrough
2024-12-15,00:00,,Essex Rebels,3,19 25 30 25 -,University of Nottingham,1,25 18 28 23 -,Super League Men,men,Essex Sport Arena,Ian Cheesbrough,Glynn Archibald
2024-12-14,00:00,,Essex Blaze,3,19 25 14 25 15,University of Nottingham,2,25 22 25 23 12,Super League Men,men,St John Payne School,Ian Cheesbrough,Caterina Guarino
2024-12-14,00:00,,Malory Eagles UEL,3,25 25 26 25 -,Stockport,1,15 12 28 18 -,Super League Men,men,Ernest Bevin College,Ryszard Dabrowski,Giorgio Scatigna-Gianfagna
2024-12-12,00:00,,Stockport,1,20 25 21 21 -,Newcastle Knights,3,25 19 25 25 -,Super League Men,men,Life Leisure Brinnington Park,Paul Fagan,Martin Mierzwa
2024-12-08,00:00,,Richmond Docklands,2,25 24 25 21 13,IBB Polonia London,3,23 26 23 25 15,Super League Men,men,University of Westminster Sports Hall Harrow Campus,Dominik Biegajlo,Huaxi Liu
2024-12-08,00:00,,Newcastle Knights,3,25 25 25 - -,Stockport,0,18 17 18 - -,Super League Men,men,Newcastle University Sports Centre,Debra Smart,Diane Hollows
2024-12-08,00:00,,London Giants,0,25 18 19 - -,Malory Eagles UEL,3,27 25 25 - -,Super League Men,men,Clapham Leisure Centre,Glynn Archibald,Martin Shakespeare
2024-12-07,00:00,,Stockport,2,22 18 25 25 7,Essex Rebels,3,25 25 21 19 15,Super League Men,men,Life Leisure Brinnington Park,Lenny Barry,Abdul Salam Safadi
2024-12-07,00:00,,Newcastle Knights,2,23 19 27 25 13,Essex Blaze,3,25 25 25 19 15,Super League Men,men,Longbenton High School,David Topacho,Evelyn Lee
2024-12-07,00:00,,Malory Eagles UEL,3,25 25 25 - -,Richmond Docklands,0,18 18 20 - -,Super League Men,men,Ernest Bevin College,Dominik Biegajlo,Ryszard Dabrowski
2024-12-01,00:00,,University of Nottingham,3,25 17 25 25 15,Stockport,2,27 25 15 19 6,Super League Men,men,University of Nottingham Sutton Bonington Campus,Pete Whyard,Elia Gironacci
2024-12-01,00:00,,Malory Eagles UEL,3,25 24 25 17 15,Essex Rebels,2,22 26 23 25 9,Super League Men,men,ACS Cobham International School,Ian Cheesbrough,Nick Heckford
2024-12-01,00:00,,Richmond Docklands,0,23 23 14 - -,Durham Palatinates,3,25 25 25 - -,Super League Men,men,University of Westminster Sports Hall Harrow Campus,Dominik Biegajlo,Gabriel Dan
2024-11-30,00:00,,University of Nottingham,3,25 25 17 25 -,London Giants,1,17 20 25 19 -,Super League Men,men,Jubilee Campus Sports Centre,Roberto Rigante,John Boughton
2024-11-30,00:00,,IBB Polonia London,1,25 22 13 19 -,Durham Palatinates,3,23 25 25 25 -,Super League Men,men,Northolt High school,Dominik Biegajlo,Huaxi Liu
2024-11-30,00:00,,Richmond Docklands,1,15 22 25 22 -,Newcastle Knights,3,25 25 21 25 -,Super League Men,men,Westminster University Harrow Campus,Peter Parsons,Alexandru Calin
2024-11-24,00:00,,London Giants,1,16 22 25 19 -,Richmond Docklands,3,25 25 20 25 -,Super League Men,men,Crystal Palace National Sports Centre,Anna Justkowska,Katarina Cepinova
2024-11-24,00:00,,Essex Rebels,3,23 25 25 25 -,Essex Blaze,1,25 23 17 17 -,Super League Men,men,Essex Sport Arena,Ian Cheesbrough,Herman Prada
2024-11-24,00:00,,IBB Polonia London,0,17 21 20 - -,Malory Eagles UEL,3,25 25 25 - -,Super League Men,men,Crystal Palace National Sports Centre,Katarina Cepinova,Anna Justkowska
2024-11-23,00:00,,Durham Palatinates,2,28 18 25 25 12,University of Nottingham,3,30 25 20 16 15,Super League Men,men,Graham Sports Centre,Stivan Kolev,Diane Hollows
2024-11-23,00:00,,Malory Eagles UEL,3,25 23 25 25 -,Essex Blaze,1,8 25 19 21 -,Super League Men,men,Ernest Bevin College,Nick Heckford,Ian Cheesbrough
2024-11-17,00:00,,Newcastle Knights,3,25 30 25 - -,IBB Polonia London,0,20 28 18 - -,Super League Men,men,Newcastle University Sports Centre,Debra Smart,Diane Hollows
2024-11-16,00:00,,London Giants,0,22 22 16 - -,Essex Blaze,3,25 25 25 - -,Super League Men,men,Crystal Palace National Sports Centre,Ian Cheesbrough,Giordano Marchi
2024-11-16,00:00,,Stockport,1,19 26 25 18 -,Richmond Docklands,3,25 24 27 25 -,Super League Men,men,Life Leisure Brinnington Park,Lenny Barry,Bryan Youlden
2024-11-10,00:00,,Essex Rebels,3,25 25 25 - -,London Giants,0,21 18 15 - -,Super League Men,men,Essex Sport Arena,Sebastian Widlarz,Giordano Marchi
2024-11-10,00:00,,Essex Blaze,0,22 24 23 - -,Durham Palatinates,3,25 26 25 - -,Super League Men,men,St John Payne School,Claudiu Florea,Ian Cheesbrough
2024-11-09,00:00,,University of Nottingham,3,25 25 25 - -,Richmond Docklands,0,15 16 22 - -,Super League Men,men,Jubilee Campus Sports Centre,William Perugini,John Boughton
2024-11-03,00:00,,Newcastle Knights,0,24 21 22 - -,London Giants,3,26 25 25 - -,Super League Men,men,Northumbria University,Debra Smart,David Topacho
