Date,Time,ID,Home,Away,Category,Division,Venue,Ref1, Ref2
2024-11-23,12:15,MSL 22,Malory Eagles UEL,Essex Blaze,Super League Men,Ernest Bevin College,,
2024-11-23,14:45,MSL 11,Durham Palatinates,University of Nottingham,Super League Men,Graham Sports Centre,,
2024-11-24,12:00,MSL 23,IBB Polonia London,Malory Eagles UEL,Super League Men,Crystal Palace National Sports Centre,,
2024-11-24,15:00,MSL 68,Essex Rebels,Essex Blaze,Super League Men,Essex Sport Arena,,
2024-11-24,15:00,MSL 24,London Giants,Richmond Docklands,Super League Men,Crystal Palace National Sports Centre,,
2024-11-30,14:30,MSL 26,Essex Blaze,Essex Rebels,Super League Men,St John Payne School,,
2024-11-30,15:15,MSL 28,Richmond Docklands,Newcastle Knights,Super League Men,Westminster University Harrow Campus,,
2024-11-30,16:00,MSL 29,University of Nottingham,London Giants,Super League Men,Jubilee Campus Sports Centre,,
2024-11-30,16:30,MSL 27,IBB Polonia London,Durham Palatinates,Super League Men,Northolt High school,,
2024-12-01,11:15,MSL 31,Richmond Docklands,Durham Palatinates,Super League Men,Westminster University Harrow Campus,,
2024-12-01,12:15,MSL 76,Malory Eagles UEL,Essex Rebels,Super League Men,ACS Cobham International School,,
2024-12-01,13:00,MSL 32,University of Nottingham,Stockport,Super League Men,Sutton Bonington Sports Centre,,
2024-12-07,12:15,MSL 34,Malory Eagles UEL,Richmond Docklands,Super League Men,Ernest Bevin College,,
2024-12-07,14:00,MSL 35,Stockport,Essex Rebels,Super League Men,Life Leisure Brinnington Park,,
2024-12-07,15:00,MSL 62,Newcastle Knights,Essex Blaze,Super League Men,Sunderland University (Cityspace),,
2024-12-08,14:00,MSL 20,London Giants,Malory Eagles UEL,Super League Men,Clapham Leisure Centre,,
2024-12-08,15:00,MSL 15,Newcastle Knights,Stockport,Super League Men,Newcastle University Sports Centre,,
2024-12-08,15:15,MSL 37,Richmond Docklands,IBB Polonia London,Super League Men,Westminster University Harrow Campus,,
2024-12-11,18:30,MSL 33,Durham Palatinates,Newcastle Knights,Super League Men,Graham Sports Centre,,
2024-12-14,14:15,MSL 40,Malory Eagles UEL,Stockport,Super League Men,Ernest Bevin College,,
2024-12-14,14:30,MSL 38,Essex Blaze,University of Nottingham,Super League Men,St John Payne School,,
2024-12-15,14:45,MSL 43,Durham Palatinates,London Giants,Super League Men,Graham Sports Centre,,
2024-12-15,15:00,MSL 42,Essex Rebels,University of Nottingham,Super League Men,Essex Sport Arena,,
2025-01-04,14:00,MSL 45,Stockport,Newcastle Knights,Super League Men,Life Leisure Brinnington Park,,
2025-01-04,16:30,MSL 44,IBB Polonia London,Essex Blaze,Super League Men,Northolt High school,,
2025-01-18,12:15,MSL 49,Malory Eagles UEL,IBB Polonia London,Super League Men,University of East London (Sports Dock),,
2025-01-18,14:00,MSL 50,Stockport,University of Nottingham,Super League Men,Life Leisure Brinnington Park,,
2025-01-18,14:45,MSL 48,Durham Palatinates,Essex Rebels,Super League Men,Graham Sports Centre,,
2025-01-18,15:15,MSL 47,Richmond Docklands,London Giants,Super League Men,Westminster University Harrow Campus,,
2025-01-19,15:00,MSL 51,Newcastle Knights,Essex Rebels,Super League Men,Newcastle University Sports Centre,,
2025-01-19,16:30,MSL 52,IBB Polonia London,Richmond Docklands,Super League Men,Northolt High school,,
2025-01-25,14:00,MSL 53,Stockport,IBB Polonia London,Super League Men,Life Leisure Brinnington Park,,
2025-01-25,15:00,MSL 54,Essex Rebels,Durham Palatinates,Super League Men,Essex Sport Arena,,
2025-01-25,15:15,MSL 57,Richmond Docklands,Essex Blaze,Super League Men,Westminster University Harrow Campus,,
2025-01-25,16:00,MSL 56,University of Nottingham,Malory Eagles UEL,Super League Men,Jubilee Campus Sports Centre,,
2025-01-26,12:30,MSL 58,Essex Blaze,London Giants,Super League Men,St John Payne School,,
2025-01-26,15:00,MSL 9,Essex Rebels,Newcastle Knights,Super League Men,Essex Sport Arena,,
2025-01-30,19:00,MSL 75,Newcastle Knights,Durham Palatinates,Super League Men,Newcastle University Sports Centre,,
2025-02-01,14:45,MSL 59,Durham Palatinates,Essex Blaze,Super League Men,Graham Sports Centre,,
2025-02-01,15:30,MSL 64,London Giants,Essex Rebels,Super League Men,Brixton Recreation Centre,,
2025-02-01,15:30,MSL 60,Newcastle Knights,Malory Eagles UEL,Super League Men,Newcastle University Sports Centre,,
2025-02-01,15:30,MSL 61,University of Nottingham,IBB Polonia London,Super League Men,David Ross Sports Village,,
2025-02-02,12:00,MSL 46,IBB Polonia London,London Giants,Super League Men,Northolt High school,,
2025-02-02,14:45,MSL 63,Durham Palatinates,Malory Eagles UEL,Super League Men,Graham Sports Centre,,
2025-02-08,12:00,MSL 65,IBB Polonia London,University of Nottingham,Super League Men,Northolt High school,,
2025-02-08,12:15,MSL 66,Malory Eagles UEL,London Giants,Super League Men,Ernest Bevin College,,
2025-02-08,14:00,MSL 25,Stockport,Durham Palatinates,Super League Men,Life Leisure Brinnington Park,,
2025-02-09,14:00,MSL 69,London Giants,University of Nottingham,Super League Men,Clapham Leisure Centre,,
2025-02-09,14:45,MSL 67,Durham Palatinates,Stockport,Super League Men,Graham Sports Centre,,
2025-02-09,16:30,MSL 39,IBB Polonia London,Essex Rebels,Super League Men,Northolt High school,,
2025-02-22,12:30,MSL 70,University of Nottingham,Newcastle Knights,Super League Men,David Ross Sports Village,,
2025-02-22,15:15,MSL 72,Richmond Docklands,Essex Rebels,Super League Men,Westminster University Harrow Campus,,
2025-02-22,16:30,MSL 71,IBB Polonia London,Stockport,Super League Men,Northolt High school,,
2025-02-23,13:00,MSL 74,London Giants,Stockport,Super League Men,Clapham Leisure Centre,,
2025-02-23,13:30,MSL 73,Essex Blaze,Malory Eagles UEL,Super League Men,St John Payne School,,
2025-03-01,13:00,MSL 78,Newcastle Knights,University of Nottingham,Super League Men,Newcastle University Sports Centre,,
2025-03-01,14:15,MSL 77,Stockport,Essex Blaze,Super League Men,Life Leisure Brinnington Park,,
2025-03-01,15:00,MSL 30,Essex Rebels,Malory Eagles UEL,Super League Men,Essex Sport Arena,,
2025-03-02,14:45,MSL 79,Durham Palatinates,IBB Polonia London,Super League Men,Graham Sports Centre,,
2025-03-02,15:15,MSL 80,Richmond Docklands,Malory Eagles UEL,Super League Men,Westminster University Harrow Campus,,
2025-03-08,13:30,MSL 81,Essex Blaze,Stockport,Super League Men,St John Payne School,,
2025-03-08,15:15,MSL 83,Richmond Docklands,University of Nottingham,Super League Men,Westminster University Harrow Campus,,
2025-03-08,16:30,MSL 82,IBB Polonia London,Newcastle Knights,Super League Men,Northolt High school,,
2025-03-09,11:45,MSL 84,Malory Eagles UEL,University of Nottingham,Super League Men,ACS Cobham International School,,
2025-03-09,13:30,MSL 55,London Giants,Newcastle Knights,Super League Men,Clapham Leisure Centre,,
2025-03-09,15:00,MSL 85,Essex Rebels,Stockport,Super League Men,University of Essex Sports Centre,,
2025-03-15,14:15,MSL 87,Stockport,Malory Eagles UEL,Super League Men,Life Leisure Brinnington Park,,
2025-03-15,14:30,MSL 6,Essex Blaze,Newcastle Knights,Super League Men,St John Payne School,,
2025-03-15,14:45,MSL 86,Durham Palatinates,Richmond Docklands,Super League Men,Graham Sports Centre,,
2025-03-15,15:30,MSL 88,University of Nottingham,Essex Rebels,Super League Men,David Ross Sports Village,,
2025-03-16,13:30,MSL 89,Essex Blaze,IBB Polonia London,Super League Men,St John Payne School,,
2025-03-30,15:00,MSL 90,Newcastle Knights,Richmond Docklands,Super League Men,Newcastle University Sports Centre,,
2024-10-05,15:00,M1 2,London Baks,Bristol,Division 1 Men,Castle Green Sport Centre,Ian Cheesbrough,Ruben Duarte
2024-10-06,11:45,M1 5,Hull Thunder,Exeter Storm,Division 1 Men,Steve Prescott Sports Centre,Diane Hollows,Edward Arnott
2024-10-06,13:00,M1 47,Tamworth Spartans,Lincoln Cannons,Division 1 Men,Wilnecote Leisure Centre,Ben Hill,Bryan Machin
2024-10-06,15:30,M1 3,Cambridge ARU,Bristol,Division 1 Men,North Cambridge Academy,Klaudia French,Stephen Watts
2024-10-12,13:15,M1 18,Black Country,Lincoln Cannons,Division 1 Men,Redhill School Sports Hall,John Boughton,Sam Yip
2024-10-12,15:00,M1 24,London Baks,Tamworth Spartans,Division 1 Men,Castle Green Sport Centre,Huaxi Liu,Gianni Sutton
2024-10-12,15:30,M1 90,Cambridge ARU,London Aces,Division 1 Men,North Cambridge Academy,Glynn Archibald,Domitilla Di Stefano
2024-10-19,13:15,M1 8,Black Country,Leeds Gorse,Division 1 Men,Redhill School Sports Hall,Rita Grimes,
2024-10-19,15:00,M1 6,Hull Thunder,Cambridge ARU,Division 1 Men,Steve Prescott Sport Centre,Simon Cowie,Diane Hollows
2024-10-19,15:30,M1 7,Exeter Storm,London Aces,Division 1 Men,Riverside Leisure Centre,Ignacio Diez,Mel Melville-brown
2024-10-20,14:00,M1 12,Bristol,London Aces,Division 1 Men,Avanti Gardens School,Neil Bentley,Cheryl Whittles
2024-10-20,14:30,M1 10,Leeds Gorse,Cambridge ARU,Division 1 Men,The Ruth Gorse Academy,Debra Smart,Diane Hollows
2024-10-20,15:30,M1 76,Tamworth Spartans,Black Country,Division 1 Men,Wilnecote Leisure Centre,Rita Grimes,Elia Gironacci
2024-10-26,12:00,M1 16,Leeds Gorse,Tamworth Spartans,Division 1 Men,The Ruth Gorse Academy,Diane Hollows,Debra Smart
2024-10-26,13:30,M1 14,London Aces,Bristol,Division 1 Men,Lambeth Academy,Anna Justkowska,Richard Burbedge
2024-10-26,14:00,M1 13,Newcastle Staffs,Hull Thunder,Division 1 Men,Sir Stanley Matthews Sports Centre,Joseph Gore,Bryan Machin
2024-10-26,14:30,M1 17,Lincoln Cannons,Exeter Storm,Division 1 Men,Riseholme College (Showground Campus),Chris Tsui,Simon Cowie
